id_log;id_user;ip;type
1;0;::1;badpassword
2;2;::1;badpassword
3;0;::1;successlogin
4;1;::1;successlogin
5;0;::1;successlogin
6;2;::1;badpassword
7;2;::1;badpassword
8;1;::1;successlogin
9;6;::1;badpassword
10;0;::1;successlogin
11;2;::1;badpassword
12;2;::1;badpassword
13;2;::1;badpassword
14;2;::1;badpassword
15;2;::1;badpassword
16;0;::1;badpassword
17;0;::1;successlogin
18;2;::1;passwordchg;admin
19;2;::1;successlogin
20;0;::1;successlogin
21;0;::1;successlogin
22;1;::1;successlogin
23;0;::1;successlogin
24;1;::1;badpassword
25;1;::1;successlogin
26;2;::1;successlogin
27;0;::1;badpassword
28;0;::1;successlogin
29;0;::1;successlogin
30;2;::1;successlogin
31;1;::1;successlogin
32;0;::1;badpassword
33;0;::1;successlogin
34;1;::1;successlogin
35;2;::1;successlogin
36;0;::1;successlogin
37;2;::1;successlogin
38;0;::1;successlogin
39;2;::1;successlogin
40;0;::1;successlogin
41;1;::1;successlogin
42;0;::1;successlogin
43;0;::1;badpassword
44;0;::1;successlogin
45;0;::1;badpassword
46;2;::1;badpassword
47;2;::1;badpassword
48;2;::1;badpassword
49;0;::1;badpassword
50;0;::1;successlogin
51;2;::1;passwordchg;admin
52;2;::1;badpassword
53;2;::1;successlogin
54;2;::1;badpassword
55;0;::1;badpassword
56;0;::1;successlogin
57;0;::1;badpassword
